c1_2_5

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   PREMIUM
 
    0      70         70          0          0       1351          0
    1         33         78         20            0        9999              270         1
    2         59         52         20            0        9999              284         1
    3         10        137         30            0        9999              433         1
    4          4         28         10            0        9999              272         1
    5         25         26         20            0        9999              439         1
    6         86         37         10            0        9999              285         1
    7          1        109         10            0        9999              331         1
    8          6        135         40            0        9999              431         1
    9         32         79         20            0        9999              406         1
   10         24         26         20            0        9999              342         1
   11         86         36         20          349         479               90         0
   12         95         35         10          144         305               90         0
   13         63         50         10          330         449               90         0
   14        100        106         10          525         667               90         0
   15         99        112         20          820         937               90         0
   16         36        135         10          578         688               90         0
   17         57         59         10          799         915               90         0
   18          8        124         10          205         323               90         0
   19         85        106         20          166         273               90         0
   20        103         69         30           33         165               90         0
   21        109        131         20           72         194               90         0
   22         43        140         10          380         499               90         0
   23        115        134         30          113         226               90         0
   24         98         70         10          429         548               90         0
   25        112         67         10          438         558               90         0
   26        102        104         20          156         302               90         0
   27         93         75         30          150         267               90         0
   28         90        104         20          833         921               90         0
   29        127        108         10          654         766               90         0
   30         84         99         20           32         175               90         0
   31        113         69         20          345         466               90         0
   32        129          9         10           84         231               90         0
   33         18         38         30          527         692               90         0
   34         30         27         10          743         865               90         0
   35         25         80         20          362         458               90         0
   36         17         37         30          457         579               90         0
   37         32        106         10          578         680               90         0
   38         43        135         10          206         303               90         0
   39         61         59         20          888        1014               90         0
   40        104        106         20          351         474               90         0
   41        109         71         20           73         186               90         0
   42        121        110         30          840         952               90         0
   43         61         48         20          419         546               90         0
   44         74         99         20          172         247               90         0
   45         89         73         10           19         123               90         0
   46         21         25         20          363         494               90         0
   47         99         28         30          360         475               90         0
   48        101         96         10           67         194               90         0
   49          9        114         20          851        1006               90         0
   50        121        112         20          188         309               90         0
   51        137          6         10          606         684               90         0
   52        118        131         20          762         877               90         0
   53         34         82         10          923        1006               90         0
   54          4        125         30          306         411               90         0
   55         26        105         40           94         200               90         0
   56         35        123         20         1090        1198               90         0
   57         21         48         10           53         197               90         0
   58         21        115         10          280         401               90         0
   59         99        108         20          913        1031               90         0
   60          1         34         20           77         193               90         0
   61         94         70         20          510         656               90         0
   62         74         93         20           23         152               90         0
   63         32        128         20         1065        1137               90         0
   64         94         73         10          710         822               90         0
   65        135          3         20          219         331               90         0
   66         97         28         20           92         189               90         0
   67         59         56         20          686         839               90         0
   68         80         97         10          405         569               90         0
   69        134         31         20          475         600               90         0
   70        103         34         30          542         671               90         0
   71         30         79         20          528         664               90         0
   72          4         30         40          679         783               90         0
   73         87         39         20           35         137               90         0
   74         90        101         10          905        1036               90         0
   75        119        136         30          294         424               90         0
   76         78         92         30          517         648               90         0
   77        110         66         10          617         742               90         0
   78         62         58         20          137         265               90         0
   79        127        112         20          569         663               90         0
   80        113         71         10          265         362               90         0
   81         34        104         10          659         785               90         0
   82          2         28         10          123         224               90         0
   83         17         43         10          175         308               90         0
   84          1         24         10          289         430               90         0
   85        112         71         20          144         300               90         0
   86        135          0         10          309         426               90         0
   87        125        108         20          733         871               90         0
   88          8        138         30          206         345               90         0
   89        103        111         20          636         750               90         0
   90         57         53         10          620         718               90         0
   91         98         31         20          456         565               90         0
   92        116        132         10          853         970               90         0
   93         28         99         10           51         187               90         0
   94        137          3         20          481         623               90         0
   95         29         28         10          842         948               90         0
   96         94        105         10          635         750               90         0
   97         92        107         30          439         557               90         0
   98         10        134         10          610         697               90         0
   99         34         79         10          804         938               90         0
  100         94         72         20          597         753               90         0
  101         35         76         10           35         174               90         0
  102         76         99         20          251         352               90         0
  103        127         28         30           98         225               90         0
  104          8        119         20          104         234               90         0
  105        102        110         10          715         853               90         0
  106         24         24         10          561         669               90         0
  107         64         61         20          976        1112               90         0
  108         22         38         20          909        1043               90         0
  109         88         72         30          877        1028               90         0
  110        107         63         30          714         835               90         0
  111         33        131         30          934        1081               90         0
  112        123        112         20          366         498               90         0
  113         67         55         10           15         101               90         0
  114         39        128         10           65         166               90         0
  115        136          0         30          419         499               90         0
  116         93         36         20           73         191               90         0
  117          7        115         10          796         877               90         0
  118         21         44         20           95         200               90         0
  119         28         74         20          167         281               90         0
  120         86        102         10           75         176               90         0
  121         19         37         20          649         754               90         0
  122         84         36         10          532         661               90         0
  123        118        108         10          925        1055               90         0
  124        132         24         10          281         415               90         0
  125          6         25         10          487         604               90         0
  126         28         78         10          447         562               90         0
  127          2        132         10          467         642               90         0
  128         22         22         10          466         577               90         0
  129         88         35         20          260         383               90         0
  130         94        104         10          721         845               90         0
  131         74         96         30           54         178               90         0
  132          0        117         30          483         617               90         0
  133         99         96         10           38         203               90         0
  134        119        114         20           87         226               90         0
  135         28        107         20          182         298               90         0
  136        133         12         10          778         894               90         0
  137         35        102         10          852         963               90         0
  138         36        105         20          756         873               90         0
  139         84         39         20          636         743               90         0
  140         34        138         20          698         756               90         0
  141        136         29         10          392         497               90         0
  142         33        133         20          868         963               90         0
  143         16         39         20          299         372               90         0
  144         32         77         20           73         185               90         0
  145        122        131         20          575         694               90         0
  146         77        100         20          310         475               90         0
  147         96         26         10          181         284               90         0
  148        127         29         20           70         187               90         0
  149         91         95         20         1012        1120               90         0
  150         42        136         10          292         400               90         0
  151         36        132         10          478         602               90         0
  152        103        106         30          259         383               90         0
  153        107        105         10          444         566               90         0
  154         96         74         10          331         457               90         0
  155         63         57         10           54         165               90         0
  156        122        113         20          287         393               90         0
  157         14        131         10          666         831               90         0
  158         30         31         20          929        1047               90         0
  159         40        132         20          106         214               90         0
  160         99         26         40          275         375               90         0
  161         10        118         10           76         175               90         0
  162        102         60         30          819         922               90         0
  163        120        136         10          375         525               90         0
  164         97         29         30           49         154               90         0
  165         19         39         10          748         838               90         0
  166         27         77         10          258         376               90         0
  167         30         24         20          643         778               90         0
  168        126        112         10          471         578               90         0
